Date,Not indexed,Indexed,Impressions
2025-08-31,,,0
2025-09-01,,,1
2025-09-02,36,9,2
2025-09-03,37,8,0
2025-09-04,37,8,1
2025-09-05,37,8,0
2025-09-06,37,8,4
2025-09-07,38,7,0
2025-09-08,38,7,0
2025-09-09,38,7,1
2025-09-10,38,7,0
2025-09-11,38,7,0
2025-09-12,38,7,0
2025-09-13,38,7,2
2025-09-14,38,7,0
2025-09-15,38,7,0
2025-09-16,38,7,0
2025-09-17,38,7,0
2025-09-18,38,7,0
2025-09-19,38,7,0
2025-09-20,38,7,0
2025-09-21,38,7,0
2025-09-22,38,7,1
2025-09-23,38,7,0
2025-09-24,39,6,0
2025-09-25,39,6,0
2025-09-26,39,6,0
2025-09-27,39,6,0
2025-09-28,40,5,0
2025-09-29,40,5,0
2025-09-30,40,5,0
2025-10-01,40,5,1
2025-10-02,40,5,0
2025-10-03,40,5,0
2025-10-04,40,5,0
2025-10-05,40,5,0
2025-10-06,40,5,0
2025-10-07,40,5,4
2025-10-08,40,5,8
2025-10-09,40,5,1
2025-10-10,40,5,2
2025-10-11,40,5,0
2025-10-12,40,5,0
2025-10-13,40,5,0
2025-10-14,40,5,0
2025-10-15,40,5,1
2025-10-16,40,5,0
2025-10-17,40,5,1
2025-10-18,40,5,0
2025-10-19,40,5,0
2025-10-20,40,5,5
2025-10-21,40,5,2
2025-10-22,41,4,1
2025-10-23,41,4,0
2025-10-24,41,4,2
2025-10-25,41,4,2
2025-10-26,41,4,2
2025-10-27,41,4,1
2025-10-28,41,4,2
2025-10-29,39,6,0
2025-10-30,39,6,0
2025-10-31,39,6,0
2025-11-01,39,6,0
2025-11-02,39,6,0
2025-11-03,39,6,0
2025-11-04,39,6,0
2025-11-05,39,6,0
2025-11-06,39,6,1
2025-11-07,39,6,0
2025-11-08,39,6,0
2025-11-09,39,6,0
2025-11-10,39,6,0
2025-11-11,39,6,0
2025-11-12,43,2,0
2025-11-13,43,2,0
2025-11-14,43,2,0
2025-11-15,43,2,0
2025-11-16,43,2,0
2025-11-17,43,2,0
2025-11-18,43,2,2
